date,foreTotalRadiation,foreWindSpeed,foreWindDirection,foreHumidity,foreTemp,forePressure,OT
2022-09-15 10:00:00,142.0,1.68,106.6,95.8,19.9,1007.9,13.2
2022-09-15 10:15:00,151.1,1.72,106.1,95.9,20.0,1007.6,12.276
2022-09-15 10:30:00,160.1,1.77,105.7,95.9,20.0,1007.4,20.9
2022-09-15 10:45:00,169.2,1.82,105.2,95.9,20.1,1007.2,24.276
2022-09-15 11:00:00,178.3,1.87,104.8,95.9,20.2,1007.0,42.669
2022-09-15 11:15:00,183.4,1.91,105.9,95.6,20.3,1006.8,44.4
2022-09-15 11:30:00,188.5,1.95,107.1,95.2,20.3,1006.6,56.459
2022-09-15 11:45:00,193.6,1.98,108.2,94.9,20.4,1006.4,71.932
2022-09-15 12:00:00,198.6,2.02,109.4,94.5,20.5,1006.2,59.4
2022-09-15 12:15:00,201.8,2.08,111.2,94.0,20.5,1006.1,77.467
2022-09-15 12:30:00,204.9,2.13,113.1,93.4,20.6,1005.9,86.338
2022-09-15 12:45:00,208.0,2.19,114.9,92.9,20.7,1005.8,99.078
2022-09-15 13:00:00,211.1,2.25,116.8,92.3,20.7,1005.6,96.228
2022-09-15 13:15:00,209.1,2.25,117.5,92.0,20.8,1005.5,111.078
2022-09-15 13:30:00,207.1,2.25,118.2,91.8,20.8,1005.4,106.029
2022-09-15 13:45:00,205.1,2.24,118.8,91.5,20.8,1005.3,126.276
2022-09-15 14:00:00,203.2,2.24,119.5,91.2,20.9,1005.1,130.694
2022-09-15 14:15:00,196.5,2.21,120.8,91.1,20.9,1005.1,135.135
2022-09-15 14:30:00,189.8,2.18,122.1,91.0,20.9,1005.0,95.931
2022-09-15 14:45:00,183.0,2.15,123.4,90.9,21.0,1004.9,89.397
